Drug,Target(Gene Name),Target(Gene Symbol),Active Indication(Indication Name),Originator Organization,Drug Highest Phase,Drug Approved Country/Location,Approval Date
AMG-570,BAFF + ICOSLG,"TNFSF13B, ICOSLG",-,"Amgen, Inc.","Phase 1,2",-,-
Anti-CD3 and anti-HER2 BiTE-expressing T cell(University of Michigan College of Engineering),CD3 + HER2,"CD3E, ERBB2",Breast Cancer,University of Michigan College of Engineering,"Phase 1,2",-,-
Anti-CD3/anti-EGFR -activated T cells(Barbara Ann Karmanos Cancer Institute),CD3 + EGFR,"CD3E, EGFR",Pancreatic Cancer | Glioblastoma,Barbara Ann Karmanos Cancer Institute,"Phase 1,2",-,-
Bafisontamab,EGFR + c-Met,"EGFR, MET",Non-Small Cell Lung Cancer | Cholangiocarcinoma | Colorectal Cancer | Hepatocellular Carcinoma | Stomach Cancer | Metastatic Digestive System Neuroendocrine Tumor G1 | Metastatic Solid Tumor | Metastatic Colorectal Carcinoma,"EpimAb Biotherapeutics, Inc.","Phase 1,2",-,-
BI-764532,CD3 + DLL3,"CD3E, DLL3",Extensive stage Small Cell Lung Cancer | Neuroendocrine Carcinoma | Neuroendocrine Tumors | Small Cell Lung Cancer | Glioma,Boehringer Ingelheim GmbH,"Phase 1,2",-,-
Cevostamab,CD3 + FCRL5,"CD3E, FCRL5",Relapsed/refractory multiple myeloma | Plasma cell myeloma refractory | Relapse multiple myeloma | Multiple Myeloma,"Genentech, Inc.","Phase 1,2",-,-
Cinrebafusp alfa,4-1BB + HER2,"TNFRSF9, ERBB2",-,"Pieris Pharmaceuticals, Inc.","Phase 1,2",-,-
CKD-702,EGFR + c-Met,"EGFR, MET",Gastroesophageal junction adenocarcinoma | Stomach Cancer | Neoplasms | metastatic non-small cell lung cancer,Chong Kun Dang Pharmaceutical Corp.,"Phase 1,2",-,-
Dalutrafusp alfa,CD73 + TGF-β,"NT5E, -",Advanced Pancreatic Ductal Adenocarcinoma | Pancreatic Ductal Adenocarcinoma,"Agenus, Inc.","Phase 1,2",-,-
Danvilostomig,CTLA4 + PD-1,"CTLA4, PDCD1",Non-Small Cell Lung Cancer | Locally Advanced Unresectable Breast Carcinoma | Solid tumor | Transitional Cell Carcinoma | Colorectal Cancer | Esophageal Carcinoma | Stomach Cancer | FGF19 positive Solid Tumors | Squamous Cell Carcinoma of Head and Neck | HER2-negative breast cancer | Uterine Cervical Cancer | Nasopharyngeal Carcinoma | Extensive stage Small Cell Lung Cancer | Locally Advanced Head and Neck Squamous Cell Carcinoma | Advanced Malignant Solid Neoplasm | Advanced Renal Cell Carcinoma | Metastatic Solid Tumor | Melanoma | Triple Negative Breast Cancer,"Sichuan Biokin Pharmaceuticals Co.,Ltd","Phase 1,2",-,-
Dilpacimab,DLL4 + VEGF-A,"DLL4, VEGFA",Colorectal Cancer | Advanced Malignant Solid Neoplasm,"AbbVie, Inc.","Phase 1,2",-,-
Flotetuzumab,CD123 + CD3,"IL3RA, CD3E",Myelodysplastic Syndromes | Relapsing acute myeloid leukemia | Acute Myeloid Leukemia | CD123 Positive Acute Myeloid Leukemia | acute leukemia | Blastic Plasmacytoid Dendritic Cell Neoplasm | CD123 Positive Hematologic Neoplasms | Chronic Myelogenous Leukemia | Hairy Cell Leukemia | Recurrent B Acute Lymphoblastic Leukemia | Recurrent Hematologic Malignancy | Recurrent Hodgkin Lymphoma | Refractory Acute Leukemia | Refractory B Acute Lymphoblastic Leukemia | Refractory Hematologic Malignancy | Refractory Hodgkin Lymphoma | Refractory T Acute Lymphoblastic Leukemia | Systemic Mastocytosis | Recurrent Acute Myeloid Leukemia | Refractory acute myeloid leukemia,"MacroGenics, Inc.","Phase 1,2",-,-
FS-118,LAG3 + PDL1,"LAG3, CD274",Non-Small Cell Lung Cancer | Diffuse Large B-Cell Lymphoma | Head and Neck Neoplasms | Hematologic Neoplasms,Merck Serono SA,"Phase 1,2",-,-
GEN-1044,5T4 + CD3,"TPBG, CD3E",Neoplasms,Genmab A/S,"Phase 1,2",-,-
HB-0025,PDL1 + VEGF,"CD274, VEGFA",Advanced Endometrial Carcinoma | Kidney Neoplasms | Advanced Malignant Solid Neoplasm,"Huabo Biopharm Co Ltd. | Zhejiang Huahai Pharmaceutical Co., Ltd.","Phase 1,2",-,-
HLX-301,PDL1 + TIGIT,"CD274, TIGIT",Solid tumor | Extensive stage Small Cell Lung Cancer | Gastroesophageal junction adenocarcinoma | Lymphoma | Metastatic Solid Tumor | Neoplasm Metastasis | Squamous Cell Carcinoma of Head and Neck | Non-Small Cell Lung Cancer,"Shanghai Henlius Biopharmaceuticals Co. , Ltd.","Phase 1,2",-,-
HLX-35,4-1BB + EGFR,"TNFRSF9, EGFR",Solid tumor | Squamous non-small cell lung cancer | Metastatic Solid Tumor | Advanced Malignant Solid Neoplasm | Refractory Malignant Solid Neoplasm,"Shanghai Henlius Biopharmaceuticals Co. , Ltd.","Phase 1,2",-,-
HX-009,CD47 + PD-1,"CD47, PDCD1",Solid tumor | Refractory Lymphoma | Hematologic Neoplasms | Liver Cancer | Melanoma | Non-Small Cell Lung Cancer | Renal Cell Carcinoma | Squamous Cell Carcinoma of Head and Neck | Stomach Cancer,"Wuhan Hanxiong Biotech,inc.","Phase 1,2",-,-
IMM-2505,CD47 + PDL1,"CD47, CD274",Advanced Malignant Solid Neoplasm,"ImmuneOnco Biopharmaceuticals (Shanghai) Co., Ltd.","Phase 1,2",-,-
Izuralimab,ICOS + PD-1,"ICOS, PDCD1",Advanced Sarcoma | Central Nervous System Diseases | Metastatic melanoma | Advanced Malignant Solid Neoplasm | Colorectal Cancer | Endometrial Carcinoma | Gastroesophageal junction adenocarcinoma | Hepatocellular Carcinoma | HER2-negative breast cancer | Malignant Fibrous Histiocytoma | Nasopharyngeal Carcinoma | Non-Small Cell Lung Cancer | Pancreatic Carcinoma | Renal Cell Carcinoma | Small Cell Lung Cancer | Squamous Cell Carcinoma of Head and Neck | Urothelial Carcinoma of the Urinary Bladder | Uterine Cervical Cancer | Uveal Melanoma,"Xencor, Inc.","Phase 1,2",-,-
JMT-601,CD20 + SIRPα,"MS4A1, SIRPA",Hematologic Neoplasms | Non-Hodgkin Lymphoma | B-cell lymphoma recurrent | B-cell lymphoma refractory | CD20 positive Diffuse Large B-Cell Lymphoma,Shanghai JMT Biological Technology Co Ltd,"Phase 1,2",-,-
