Drug,Target(Gene Name),Target(Gene Symbol),Active Indication(Indication Name),Originator Organization,Drug Highest Phase,Drug Approved Country/Location,Approval Date
CC-1,CD3 + PSMA,"CD3E, FOLH1",Recurrent Prostate Carcinoma,"German Cancer Research Center (Deutsches Krebsforschungszentrum, DKFZ)","Phase 1,2",-,-
CC-3,CD276 + CD3,"CD276, CD3E",Colorectal Cancer,German Cancer Research Center,"Phase 1,2",-,-
CCW-702,CD3 + PSMA,"CD3E, FOLH1",Prostatic Cancer,The Scripps Research Institute,"Phase 1,2",-,-
CLN-049,CD3 + FLT3,"CD3E, FLT3",Myelodysplastic Syndromes | Refractory acute myeloid leukemia | Relapsing acute myeloid leukemia | Acute Myeloid Leukemia,German Cancer Research Center | Universitaetsklinikum Tuebingen,"Phase 1,2",-,-
CLN-978,CD19 + CD3,"CD19, CD3E",B-cell lymphoma recurrent | Recurrent Adult Acute Lymphoblastic Leukemia | Refractory Mature B-Cell Non-Hodgkin Lymphoma | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,Adimab LLC,"Phase 1,2",-,-
CTX-8371,PD-1 + PDL1,"PDCD1, CD274",Hodgkin's Lymphoma | Melanoma | Non-Small Cell Lung Cancer | Squamous Cell Carcinoma of Head and Neck | Triple Negative Breast Cancer | Solid tumor,Compass Therapeutics LLC,"Phase 1,2",-,-
CX-904,CD3 + EGFR,"CD3E, EGFR",Colorectal Cancer | Solid tumor | Advanced Malignant Solid Neoplasm,"Amgen, Inc. | CytomX Therapeutics, Inc.","Phase 1,2",-,-
D3L-001,CD47 + HER2,"CD47, ERBB2",HER2 Positive Solid Tumors | Breast Cancer | Stomach Cancer,D3 Bio (Wuxi) Co. Ltd,"Phase 1,2",-,-
Duvortuxizumab,CD19 + CD3,"CD19, CD3E",B-Cell Chronic Lymphocytic Leukemia | Diffuse Large B-Cell Lymphoma | Follicular Lymphoma | Hematologic Neoplasms | Mantle-Cell Lymphoma,"MacroGenics, Inc.","Phase 1,2",-,-
Eciskafusp alfa(Roche),IL-2R + PD-1,"-, PDCD1",Metastatic Solid Tumor,F. Hoffmann-La Roche Ltd.,"Phase 1,2",-,-
EMB-07,CD3 + ROR1,"CD3E, ROR1",Refractory Lymphoma | Solid tumor | Adenocarcinoma of Lung | Bladder Cancer | Colorectal Cancer | Metastatic Solid Tumor | Ovarian Cancer | Pancreatic Cancer | Prostatic Cancer | Recurrent Lymphoma | Stomach Cancer | Triple Negative Breast Cancer | Uterine Neoplasms | Hematologic Neoplasms,"EpimAb Biotherapeutics, Inc.","Phase 1,2",-,-
EMB-09,OX40 + PD-1 + PDL1,"TNFRSF4, PDCD1, CD274",Advanced Malignant Solid Neoplasm | Colorectal Cancer | Endometrial Carcinoma | Hepatocellular Carcinoma | Melanoma | Metastatic Solid Tumor | Nasopharyngeal Carcinoma | Non-Small Cell Lung Cancer | Ovarian Cancer | Renal Cell Carcinoma | Small Cell Lung Cancer | Squamous Cell Carcinoma of Head and Neck | Stomach Cancer | Triple Negative Breast Cancer | Neoplasms | Solid tumor,"EpimAb Biotherapeutics, Inc.","Phase 1,2",-,-
ERY-974,CD3 + GPC3,"CD3E, GPC3",Hepatocellular Carcinoma,"Chugai Pharmaceutical Co., Ltd.","Phase 1,2",-,-
ES-014,CD39 + TGF-β,"ENTPD1, -",Neoplasms | Locally Advanced Malignant Solid Neoplasm | Metastatic Solid Tumor | Solid tumor,Elpiscience Biopharma Ltd.,"Phase 1,2",-,-
ES-101,4-1BB + PDL1,"TNFRSF9, CD274",Neoplasms,"Inhibrx, Inc.","Phase 1,2",-,-
EX-101,CD3 + HER2,"CD3E, ERBB2",Breast Cancer | Stomach Cancer | Solid tumor,"Excelmab, Inc.","Phase 1,2",-,-
F-182112,BCMA + CD3,"TNFRSF17, CD3E",Plasma cell myeloma refractory | Relapse multiple myeloma,"Lunan Pharmaceutical Group Co., Ltd.","Phase 1,2",-,-
FS-120,4-1BB + OX40,"TNFRSF9, TNFRSF4",Advanced cancer | Neoplasms,"F Star Co., Ltd.","Phase 1,2",-,-
FS-222,4-1BB + PDL1,"TNFRSF9, CD274",Advanced cancer | Neoplasms,"F Star Co., Ltd.","Phase 1,2",-,-
GBR-1342,CD3 + CD38,"CD3E, CD38",Plasma cell myeloma refractory | Relapse multiple myeloma,Glenmark Pharmaceuticals Ltd.,"Phase 1,2",-,-
GEM3-PSCA,CD3 + PSCA,"CD3E, PSCA",Prostatic Cancer,GEMoaB Monoclonals GmbH,"Phase 1,2",-,-
Givastomig,4-1BB + CLDN18.2,"TNFRSF9, CLDN18",Pancreatic Ductal Carcinoma | Metastatic Solid Tumor | Metatropic Dwarfism | Adenocarcinoma of Esophagus | Advanced cancer | Gastroesophageal junction adenocarcinoma,"I-MAB Biopharma Co., Ltd.","Phase 1,2",-,-
GMA-106,GIPR + GLP-1R,"GIPR, GLP1R","Diabetes Mellitus | Baritosis | Diabetes Mellitus, Type 2 | Nonalcoholic Steatohepatitis | Obesity | Overweight",Gmax Biopharm LLC,"Phase 1,2",-,-
GR-1803,BCMA + CD3,"TNFRSF17, CD3E",Multiple Myeloma,"Genrix (Shanghai) Biopharmaceutical Co., Ltd. | Chongqing Genrix Biopharmaceutical Co., Ltd.","Phase 1,2",-,-
GR-1901,CD123 + CD3,"IL3RA, CD3E",Acute Myeloid Leukemia,"Chongqing Genrix Biopharmaceutical Co., Ltd.","Phase 1,2",-,-
GT-90008,PDL1 + TGF-β,"CD274, -",Advanced Malignant Solid Neoplasm | Solid tumor,"Suzhou Kintor Pharmaceuticals, Inc. | Gensun Biopharma, Inc.","Phase 1,2",-,-
HBM-7008,4-1BB + B7-H4,"TNFRSF9, VTCN1",Neoplasms | Advanced Malignant Solid Neoplasm | Lung Cancer | Ovarian Cancer | Triple Negative Breast Cancer | Solid tumor,"Harbour BioMed (Shanghai) Co., Ltd.","Phase 1,2",-,-
HK010,4-1BB + PDL1,"TNFRSF9, CD274",Tumor of advanced extent | Neoplasms,"Anhui Anke Biotechnology (Group) Co., Ltd. | HankeMab","Phase 1,2",-,-
HuCD33 BsAb (Y-mAbs Therapeutics),CD3 + CD33,"CD3E, CD33",Acute Myeloid Leukemia | Hematologic Neoplasms,Memorial Sloan Kettering Cancer Center,"Phase 1,2",-,-
IBI-321,PD-1 + TIGIT,"PDCD1, TIGIT",Tumor of advanced extent | Neoplasms | Advanced Malignant Solid Neoplasm,Innovent Biologics (Suzhou) Co. Ltd.,"Phase 1,2",-,-
IBI-323,LAG3 + PDL1,"LAG3, CD274",Neoplasms,Innovent Biologics (Suzhou) Co. Ltd.,"Phase 1,2",-,-
IBI-389,CD3 + CLDN18.2,-,Advanced Malignant Solid Neoplasm | Tumor of advanced extent | Solid tumor,Innovent Biologics (Suzhou) Co. Ltd.,"Phase 1,2",-,-
IBI319,4-1BB + PD-1,"TNFRSF9, PDCD1",Neoplasms | Tumor of advanced extent,Adimab LLC | Innovent Biologics (Suzhou) Co. Ltd.,"Phase 1,2",-,-
IGM-2644,CD3 + CD38,"CD3E, CD38",Plasma cell myeloma refractory | Relapse multiple myeloma,"IGM Biosciences, Inc.","Phase 1,2",-,-
IMA-401,MAGEA4 + MAGEA8,"MAGEA4, MAGEA8",Refractory Cancer | Solid tumor,Immatics Biotechnologies GmbH,"Phase 1,2",-,-
IMB071703,4-1BB + CD40,"TNFRSF9, CD40",Advanced Malignant Solid Neoplasm,"Beijing Immune Ark Pharmaceutical Technology Co., Ltd.","Phase 1,2",-,-
IMGS-001,PDL1 + PDL2,"CD274, PDCD1LG2",Solid tumor | Neoplasms,The University of Texas MD Anderson Cancer Center,"Phase 1,2",-,-
IMM-2510,PDL1 + VEGF,"CD274, VEGFA",Advanced Malignant Solid Neoplasm | Solid tumor | Tumor of advanced extent,"ImmuneOnco Biopharmaceuticals (Shanghai) Co., Ltd.","Phase 1,2",-,-
IMM-2520,CD47 + PDL1,"CD47, CD274",Breast Cancer | Colorectal Cancer | Non-Small Cell Lung Cancer | Small Cell Lung Cancer | Squamous Cell Carcinoma of Head and Neck | Advanced Malignant Solid Neoplasm | Solid tumor,"ImmuneOnco Biopharmaceuticals (Shanghai) Co., Ltd.","Phase 1,2",-,-
INCA-33890,PD-1 + TGFBR2,"PDCD1, TGFBR2",Advanced Malignant Solid Neoplasm | Metastatic Solid Tumor | Solid tumor,Incyte Corp.,"Phase 1,2",-,-
INCA32459,LAG3 + PD-1,"LAG3, PDCD1",Neoplasms,Incyte Corp.,"Phase 1,2",-,-
Inezetamab,CD40 + MSLN,"CD40, MSLN",Advanced Malignant Solid Neoplasm,"Amgen, Inc.","Phase 1,2",-,-
JNJ-67571244,CD3 + CD33,"CD3E, CD33",Myelodysplastic Syndromes | Refractory acute myeloid leukemia,Janssen Research & Development LLC,"Phase 1,2",-,-
JNJ-70218902,CD3 + TMEFF2,"CD3E, TMEFF2",Advanced Malignant Solid Neoplasm,Janssen Research & Development LLC,"Phase 1,2",-,-
JNJ-75348780,CD22 + CD3,"CD22, CD3E",B-Cell Chronic Lymphocytic Leukemia | Non-Hodgkin Lymphoma,"TeneoBio, Inc.","Phase 1,2",-,-
JNJ-78278343,CD3 + KLK2,"CD3E, KLK2",Prostatic Cancer | Metastatic castration-resistant prostate cancer | Castration-Resistant Prostatic Cancer | Advanced Prostate Carcinoma,"Janssen Research & Development LLC | Zymeworks BC, Inc.","Phase 1,2",-,-
JNJ-78306358,CD3 + HLA-G,"CD3E, HLA-G",Advanced Malignant Solid Neoplasm,Janssen Research & Development LLC,"Phase 1,2",-,-
JNJ-87189401,CD28 + PSMA,"CD28, FOLH1",Prostatic Cancer,Janssen Research & Development LLC,"Phase 1,2",-,-
K193 bispecific antibody,CD19 + CD3ε,"CD19, CD3e",B-cell lymphoma recurrent | Leukemia,"Beijing Lüzhu Biotechnology Co., Ltd.","Phase 1,2",-,-
LB-4330,CD8 + CLDN18.2,-,Advanced Malignant Solid Neoplasm | Solid tumor | Pancreatic Cancer | Stomach Cancer,"L&L Biopharma Co., Ltd.","Phase 1,2",-,-
LNF1904,CD19 + CD3,"CD19, CD3E",B-Cell Malignant Neoplasm,Shandong New Time Pharmaceutical Co. Ltd.,"Phase 1,2",-,-
LOR-S03,CD27 + PDL1,"CD27, CD274",Breast Cancer | Cholangiocarcinoma | Esophageal Carcinoma | Fallopian Tube Carcinoma | Liver Cancer | Microsatellite instability-high colorectal cancer | Non-Small Cell Lung Cancer | Ovarian Cancer | Primary peritoneal carcinoma | Renal Cell Carcinoma | Stomach Cancer | Urothelial Carcinoma of the Urinary Bladder,"Celldex Therapeutics, Inc.","Phase 1,2",-,-
LY-3415244,PDL1 + TIM3,"CD274, HAVCR2",Neoplasms,Eli Lilly & Co.,"Phase 1,2",-,-
M-802,CD3 + HER2,"CD3E, ERBB2",Ovarian Cancer | Breast Cancer | Stomach Cancer | HER2 Positive Solid Tumors,"Wuhan YZY Biopharma Co., Ltd.","Phase 1,2",-,-
MCLA-145,4-1BB + PDL1,"TNFRSF9, CD274",Advanced cancer | B-Cell Lymphoma | Solid tumor,Incyte Corp.,"Phase 1,2",-,-
MGD-007,CD3 + GPA33,"CD3E, GPA33",Colorectal Cancer,"MacroGenics, Inc.","Phase 1,2",-,-
MGD-024,CD123 + CD3,"IL3RA, CD3E",Hematologic Neoplasms | Acute Myeloid Leukemia | B-Cell Leukemia | Blastic Plasmacytoid Dendritic Cell Neoplasm | Chronic Myelogenous Leukemia | Classical Hodgkin's Lymphoma | Hairy Cell Leukemia | Myelodysplastic Syndromes | Systemic Mastocytosis,"MacroGenics, Inc.","Phase 1,2",-,-
NBL-015,4-1BB + CLDN18.2,"TNFRSF9, CLDN18",Advanced Malignant Solid Neoplasm | CLDN18.2 positive  Solid Tumors | Solid tumor | Pancreatic Cancer | Stomach Cancer,Novarock Biotherapeutics Ltd.,"Phase 1,2",-,-
NBL-028,4-1BB + CLDN6,"TNFRSF9, CLDN6",Advanced Malignant Solid Neoplasm | CLDN6-positive Solid Tumors | Stomach Cancer | Endometrial Carcinoma | Non-Small Cell Lung Cancer | Ovarian Cancer | Testicular Neoplasms,Novarock Biotherapeutics Ltd.,"Phase 1,2",-,-
NG-641,CD3 + FAP,"CD3E, FAP",Glandular and Epithelial Neoplasms | Neoplasm Metastasis | Carcinoma,University of Oxford,"Phase 1,2",-,-
NI-1801,CD47 + MSLN,"CD47, MSLN",Mesothelin positive Solid Tumors | Non-squamous non-small cell lung cancer | Ovarian Epithelial Carcinoma | Triple Negative Breast Cancer | Solid tumor,Berta Holding AG,"Phase 1,2",-,-
NVG-111,CD3 + ROR1,"CD3E, ROR1",Diffuse Large B-Cell Lymphoma | Follicular Lymphoma | Melanoma | Non-Small Cell Lung Cancer | Small Lymphocytic Lymphoma,Novalgen Ltd.,"Phase 1,2",-,-
oHSV2-BsAb,CD3 + PDL1,"CD3E, CD274",Solid tumor | Recurrent Cervical Cancer,"Wuhan Binhui Biopharmaceutical Co., Ltd.","Phase 1,2",-,-
ONO-4685,CD3 + PD-1,"CD3E, PDCD1",Plaque psoriasis | T-cell lymphoma refractory | T-cell lymphoma recurrent,Merus NV,"Phase 1,2",-,-
Orlotamab,CD276 + CD3,"CD276, CD3E",Advanced Malignant Solid Neoplasm | Recurrent Carcinoma,"MacroGenics, Inc.","Phase 1,2",-,-
PF-07062119,CD3 + GC-C,"CD3E, GUCY2C",Adenocarcinoma | Adenocarcinoma of large intestine | stomach adenocarcinoma,Pfizer Inc.,"Phase 1,2",-,-
PF-07257876,CD47 + PDL1,"CD47, CD274",Non-Small Cell Lung Cancer | Ovarian Cancer | Squamous Cell Carcinoma of Head and Neck | Ovarian Epithelial Carcinoma,Pfizer Inc.,"Phase 1,2",-,-
Plamotamab,CD20 + CD3,"MS4A1, CD3E",B-Cell Chronic Lymphocytic Leukemia | B-Cell Lymphoma | CD20 positive Hematologic Neoplasms,"Xencor, Inc.","Phase 1,2",-,-
PM-1009,CD112R + TIGIT,"PVRIG, TIGIT",Advanced cancer | Neoplasms | Tumor of advanced extent | Lung Cancer,"Pumis Biotechnology (Zhuhai) Co., Ltd.","Phase 1,2",-,-
PM-1080,EGFR + c-Met,"EGFR, MET",Non-Small Cell Lung Cancer | Advanced Malignant Solid Neoplasm,"Pumis Biotechnology (Zhuhai) Co., Ltd.","Phase 1,2",-,-
PM-8001,PDL1 + TGF-β,"CD274, -",Lung Cancer | Human Papillomavirus Infection | Non-Small Cell Lung Cancer,"Pumis Biotechnology (Zhuhai) Co., Ltd.","Phase 1,2",-,-
PT217,CD47 + DLL3,"CD47, DLL3",Large cell neuroendocrine carcinoma | Prostate Neuroendocrine Carcinoma | Small Cell Lung Cancer,"Phanes Therapeutics, Inc.","Phase 1,2",-,-
Q-1801,PDL1 + SIRPα,"CD274, SIRPA",Neoplasms | Solid tumor,Qurebio Ltd.,"Phase 1,2",-,-
QL-325,CD3 + CLL-1,"CD3E, CLEC12A",Acute Myeloid Leukemia | Neoplasms,"Qlsf Biotherapeutic, Inc.","Phase 1,2",-,-
QL-335,CD3 + LY6G6D,"CD3E, LY6G6D",Colorectal Cancer,"Qlsf Biotherapeutic, Inc.","Phase 1,2",-,-
QL401,CD47 + PDL1,"CD47, CD274",Neoplasms,"Qlsf Biotherapeutic, Inc.","Phase 1,2",-,-
QLP-31907,CD20 + CD37,"MS4A1, CD37",B-Cell Malignant Neoplasm | Indolent B-Cell Non-Hodgkin Lymphoma | Recurrent Indolent Non-Hodgkin Lymphoma,"Qilu Pharmaceutical Co., Ltd.","Phase 1,2",-,-
QLS31904,CD3 + DLL3,"CD3E, DLL3",Advanced Malignant Solid Neoplasm | Solid tumor | Unresectable Solid Neoplasm | Small Cell Lung Cancer,"Qilu Pharmaceutical Co., Ltd.","Phase 1,2",-,-
RC-148,PD-1 + VEGF,"PDCD1, VEGFA",Locally Advanced Malignant Solid Neoplasm | Malignant Solid Neoplasm,"RemeGen Co., Ltd.","Phase 1,2",-,-
Recombinant anti-HER2/CD3 humanized bispecific antibody(Sichuan Luzhou Buchang Pharmaceuticals),CD3 + HER2,"CD3E, ERBB2",HER2 Positive Solid Tumors | Solid tumor,"Sichuan Luzhou Buchang Biopharmaceutical Co., Ltd.","Phase 1,2",-,-
Recombinant humanized anti-BCMA/CD3 bispecific antibody(Shandong New Time Pharmaceutical Co. Ltd.),BCMA + CD3,"TNFRSF17, CD3E",Relapse multiple myeloma,Shandong New Time Pharmaceutical Co. Ltd.,"Phase 1,2",-,-
Recombinant PD-1/TIM3 bispecific antibody(L&L vision biopharmaceuticals),PD-1 + TIM3,"PDCD1, HAVCR2",Neoplasms | Advanced Malignant Solid Neoplasm | Lymphoma | Tumor of advanced extent | Colorectal Cancer | Non-Small Cell Lung Cancer,"L&L Biopharma Co., Ltd.","Phase 1,2",-,-
REGN-5837,CD22 + CD28,"CD22, CD28",Aggressive B-Cell Non-Hodgkin Lymphoma | B-Cell Lymphoma | Diffuse Large B-Cell Lymphoma,"Regeneron Pharmaceuticals, Inc.","Phase 1,2",-,-
REMD-532,PD-1 + TIGIT,"PDCD1, TIGIT",Solid tumor,"REMD Biotherapeutics, Inc.","Phase 1,2",-,-
Reozalimab,PD-1 + PDL1,"PDCD1, CD274",Small Cell Lung Cancer | Advanced cancer | Tumor of advanced extent,Adimab LLC | Innovent Biologics (Suzhou) Co. Ltd.,"Phase 1,2",-,-
RG-6333,CD19 + CD28,"CD19, CD28",Non-Hodgkin Lymphoma,Roche Holding AG,"Phase 1,2",-,-
RG6129,CD3 + MAGEA4,"CD3E, MAGEA4",Solid tumor,Roche Holding AG,"Phase 1,2",-,-
RO-7293583,CD3 + TYRP1,"CD3E, TYRP1","Melanoma, Cutaneous Malignant | Metastatic melanoma | Mucosal Melanoma | Uveal Melanoma",F. Hoffmann-La Roche Ltd.,"Phase 1,2",-,-
RO-7297089,BCMA + CD16a,"TNFRSF17, FCGR3A",Plasma cell myeloma refractory | Relapse multiple myeloma,"Genentech, Inc.","Phase 1,2",-,-
RO-7300490,CD40L + FAP,"CD40LG, FAP",Advanced Malignant Solid Neoplasm | Metastatic Solid Tumor,Roche Holding AG,"Phase 1,2",-,-
Runimotamab,CD3 + HER2,"-, CD3e, ERBB2",HER2 Positive Cancer | Solid tumor | Breast Cancer,F. Hoffmann-La Roche Ltd.,"Phase 1,2",-,-
SG12473,CD47 + PDL1,"CD47, CD274",Tumor of advanced extent,"Hangzhou Shangjian Biotechnology Co., Ltd.","Phase 1,2",-,-
SG1408,PDL1 + VEGF,"CD274, VEGFA",Advanced Malignant Solid Neoplasm | Neoplasms,"Zhongsheng Shangjian Biomedical (Hangzhou) Co., Ltd.","Phase 1,2",-,-
SG1906,CD47 + CLDN18.2,"CD47, CLDN18",CLDN18.2 positive  Solid Tumors | Metastatic Solid Tumor | Unresectable Solid Neoplasm | CLDN18.2 Positive Advanced Malignant Solid Neoplasm,"Hangzhou Shangjian Biotechnology Co., Ltd.","Phase 1,2",-,-
SG2501,CD38 + CD47,"CD38, CD47",Hematologic Neoplasms | Lymphoma | Recurrent Hematologic Malignancy | Refractory Hematologic Malignancy,"Hangzhou Shangjian Biotechnology Co., Ltd.","Phase 1,2",-,-
SGN-BB228,4-1BB + CD228,"TNFRSF9, MELTF","Melanoma | Colorectal Cancer | Melanoma, Cutaneous Malignant | Mesothelioma | Non-Small Cell Lung Cancer | Pancreatic Cancer",Seagen Inc.,"Phase 1,2",-,-
SH-009,CD47 + PDL1,"CD47, CD274",Tumor of advanced extent,Nanjing Sanhome Pharmaceutical Co. Ltd.,"Phase 1,2",-,-
SH006,PDL1 + TIGIT,"CD274, TIGIT",Solid tumor,Nanjing Sanhome Pharmaceutical Co. Ltd.,"Phase 1,2",-,-
SHR-2002,CD112R + TIGIT,"PVRIG, TIGIT",Tumor of advanced extent | Neoplasms | Solid tumor,"Suzhou Suncadia Biopharmaceuticals Co., Ltd.","Phase 1,2",-,-
SHR-7367,CD40 + FAP,"CD40, FAP",Advanced Malignant Solid Neoplasm | Neoplasms | Solid tumor,"Shanghai Hengrui Pharmaceutical Co., Ltd.","Phase 1,2",-,-
SIM0348,CD112R + TIGIT,"PVRIG, TIGIT",Advanced Malignant Solid Neoplasm | Solid tumor,Simcere Pharmaceutical Group Limited,"Phase 1,2",-,-
SKB-337,CTLA4 + PDL1,"CTLA4, CD274",Solid tumor,"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.","Phase 1,2",-,-
SSGJ-705,HER2 + PD-1,"ERBB2, PDCD1",Metastatic Solid Tumor | Neoplasms | HER2 Positive Solid Tumors | Metastatic breast cancer | Stomach Cancer,"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.","Phase 1,2",-,-
SSGJ-707,PD-1 + VEGF,"PDCD1, VEGFA",Advanced Malignant Solid Neoplasm | Solid tumor,"Dansheng Pharmaceutical Technology (Shanghai) Co., Ltd.","Phase 1,2",-,-
TG-1801,CD19 + CD47,"CD19, CD47",B-Cell Malignant Neoplasm | B-Cell Chronic Lymphocytic Leukemia | Follicular Lymphoma | Mantle-Cell Lymphoma | Marginal Zone B-Cell Lymphoma | Mediastinal large B-cell lymphoma | Small Lymphocytic Lymphoma | B-Cell Lymphoma,Novimmune SA,"Phase 1,2",-,-
TQB-2825,CD20 + CD3,"MS4A1, CD3E",CD20 positive Hematologic Neoplasms | Hematologic Neoplasms,"Nanjing Shunxin Pharmaceutical Co., Ltd.","Phase 1,2",-,-
TQB2934,BCMA + CD3,"TNFRSF17, CD3E",Multiple Myeloma,"Nanjing Shunxin Pharmaceutical Co., Ltd.","Phase 1,2",-,-
TST-005,PDL1 + TGF-β,"CD274, -",Solid tumor,Transcenta Holding Ltd.,"Phase 1,2",-,-
WVT-078,BCMA + CD3,"TNFRSF17, CD3E",Relapsed/refractory multiple myeloma | Multiple Myeloma,Novartis Pharma AG,"Phase 1,2",-,-
Xaluritamig,CD3 + STEAP1,"CD3E, STEAP1",Prostatic Cancer | Metastatic castration-resistant prostate cancer,"Amgen, Inc.","Phase 1,2",-,-
XmAb-808,CD276 + CD28,"CD276, CD28",Castration-Resistant Prostatic Cancer | Colorectal Cancer | Melanoma | Non-Small Cell Lung Cancer | Ovarian Epithelial Carcinoma | Renal Cell Carcinoma | Squamous Cell Carcinoma of Head and Neck | Transitional Cell Carcinoma | Triple Negative Breast Cancer,"Xencor, Inc.","Phase 1,2",-,-
XmAb-819,CD3 + ENPP3,"CD3E, ENPP3",Renal Cell Carcinoma,"Xencor, Inc.","Phase 1,2",-,-
XmAb968,CD3 + CD38,"CD3E, CD38",Acute Lymphoblastic Leukemia | Acute Myeloid Leukemia | Multiple Myeloma,"Xencor, Inc.","Phase 1,2",-,-
Y-150,CD3 + CD38,"CD3E, CD38",Multiple Myeloma | Plasma cell myeloma refractory | Relapse multiple myeloma | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,"Wuhan YZY Biopharma Co., Ltd.","Phase 1,2",-,-
Y332,TGF-β + VEGF,-,Solid tumor,"Wuhan YZY Biopharma Co., Ltd.","Phase 1,2",-,-
YH-008,CD40 + PD-1,"CD40, PDCD1",Solid tumor | Hematologic Neoplasms | Neoplasms,Youhe Medical Technology (Beijing) Co. Ltd.,"Phase 1,2",-,-
YK012,CD19 + CD3,"CD19, CD3E",B-cell lymphoma recurrent | B-cell lymphoma refractory,"Yikesite (Beijing) Pharmaceutical Technology Development Co., Ltd.","Phase 1,2",-,-
ZGGS15,LAG3 + TIGIT,"LAG3, TIGIT",Solid tumor,"Suzhou Zelgen Biopharmaceuticals Co., Ltd.","Phase 1,2",-,-
Papiliximab,CD47 + PDL1,"CD47, CD274",Neoplasms,"Shaperon, Inc.","Phase 1,2",-,-
GEM-333,CD3 + CD33,"CD3E, CD33",Acute Myeloid Leukemia,GEMoaB Monoclonals GmbH,"Phase 1,2",-,-
Nisevokitug,TGF-β1 + TGF-β2,"TGFB1, TGFB2",-,-,"Phase 1,2",-,-
Obertamig,CD3ε + HLA-G,"CD3e, HLA-G",Neoplasms,-,"Phase 1,2",-,-
Tobemstomig,LAG3 + PD-1,"LAG3, PDCD1",-,-,"Phase 1,2",-,-
vonsetamig,BCMA + CD3ε,"TNFRSF17, CD3e",Neoplasms,-,"Phase 1,2",-,-
Zeripatamig,CD19 + CD47,"CD19, CD47",-,-,"Phase 1,2",-,-
CDR-404,HLA + MAGEA4,"-, MAGEA4",Solid tumor | Bladder Cancer | Esophageal Carcinoma | Lung Cancer,CDR-Life Inc.,"Preclinical, IND Application",-,-
EX-105,CD276 + CD3,"CD276, CD3E",Advanced Malignant Solid Neoplasm | Pancreatic Cancer,"Excelmab, Inc.","Preclinical, IND Application",-,-
HBM-9027,CD40 + PDL1,"CD40, CD274",Solid tumor | Neoplasms,"Harbour BioMed (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
R7020,BCMA + CD3,"TNFRSF17, CD3E",Multiple Myeloma,"Hualan Biological Engineering, Inc. | Harbour Biomed Therapeutics Ltd.","Preclinical, IND Application",-,-
VEGF/ANG2 Tetravalent Bispecific Antibody,Ang2 + VEGF,"ANGPT2, VEGFA",-,China Medical System Holdings Ltd.,"Preclinical, IND Application",-,-
705,HER2 + PD-1,"ERBB2, PDCD1",Neoplasms,"Shenyang Sunshine Pharmaceutical Co., Ltd.","Preclinical, IND Application",-,-
A-329,CD19 + CD3,"CD19, CD3E",Lupus Vulgaris | Non-Hodgkin Lymphoma,ITabMed,"Preclinical, IND Application",-,-
ABP-100,CD3 + HER2,"CD3E, ERBB2",Breast Cancer | Colorectal Cancer,Memorial Sloan Kettering Cancer Center,"Preclinical, IND Application",-,-
ADG152,CD20 + CD3,"MS4A1, CD3E",Neoplasms,"Adagene, Inc.","Preclinical, IND Application",-,-
CMD007,CD3 + MSLN,"CD3E, MSLN",Lung Cancer | Mesothelioma | Ovarian Cancer,"Zhejiang Shimai Pharmaceutical Co., Ltd.","Preclinical, IND Application",-,-
CTIM-76,CD3 + CLDN6,"CD3E, CLDN6",Solid tumor,"Integral Molecular, Inc.","Preclinical, IND Application",-,-
DR30318,CD3 + CLDN18.2,-,Solid tumor,"Zhejiang Doer Biologics Co., Ltd.","Preclinical, IND Application",-,-
JY-016,CD3 + EGFR,"CD3E, EGFR",Colorectal Cancer | Lung Cancer,"Beijing Lean Taixiang Technology Development Co. Ltd. | Beijing Oriental Biotech Co., Ltd.","Preclinical, IND Application",-,-
LP-003,CD3 + GD2,-,Ewing Sarcoma | Neuroblastoma | Osteosarcoma | Small Cell Lung Cancer | Ovarian Cancer,Guangzhou LintonPharm Co Ltd,"Preclinical, IND Application",-,-
LP-104,CD3 + CD47,"CD3E, CD47",T-Cell Lymphoma,Guangzhou LintonPharm Co Ltd,"Preclinical, IND Application",-,-
SHS-010,CTLA4 + PD-1,"CTLA4, PDCD1",Neoplasms,Nanjing Sanhome Pharmaceutical Co. Ltd.,"Preclinical, IND Application",-,-
SPX-303,LILRB2 + PDL1,"LILRB2, CD274",Solid tumor | Colonic Cancer | Stomach Cancer,"SparX Therapeutics, Inc.","Preclinical, IND Application",-,-
1D8N/CEGa1,4-1BB + EGFR,"TNFRSF9, EGFR",Neoplasms,LeadArtis SL,"Preclinical, IND Application",-,-
ABL-102,4-1BB + ROR1,"TNFRSF9, ROR1",Hematologic Neoplasms | Solid tumor,"ABL Bio, Inc.","Preclinical, IND Application",-,-
ABL-104,4-1BB + EGFR,"TNFRSF9, EGFR",Stomach Cancer,"ABL Bio, Inc.","Preclinical, IND Application",-,-
ABL-506,CD276 + PDL1,"CD276, CD274",Solid tumor,"Handok, Inc. | ABL Bio, Inc.","Preclinical, IND Application",-,-
